,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
79,t#jc019,False,64,1,equal,ST2_low_1_a1,P = T2?,Same,2,1,low,82,1.58,132,0.81,132,0.83,Yes,sure,hit,6.539905071258545,NA
80,t#jc019,False,65,1,equal,ST1_low_4_a1,P = T1?,Same,1,1,low,112,1.07,70,1.72,112,1.22,No,unsure,miss,1.462028980255127,NA
81,t#jc019,False,66,1,equal,ST2_high_5_a2,P = T1?,Same,2,2,high,96,1.15,132,0.86,132,0.92,Yes,sure,fa,1.6537179946899414,NA
82,t#jc019,False,67,1,equal,STb_4_a2,P = T2?,Same,0,2,None,96,1.09,96,1.16,96,1.23,Yes,sure,hit,0.48784422874450684,NA
83,t#jc019,False,68,1,equal,ST2_low_1_a2,P = T2?,Same,2,2,low,82,1.27,132,0.92,132,0.97,Yes,sure,hit,0.48923397064208984,NA
84,t#jc019,False,69,1,equal,ST1_high_4_a2,P = T2?,Same,1,2,high,96,1.32,70,1.68,96,1.32,No,sure,cr,1.0041844844818115,NA
85,t#jc019,False,70,1,equal,STb_6_a2,P = T2?,Same,0,2,None,132,0.93,132,0.85,132,0.84,Yes,sure,hit,0.27483558654785156,NA
86,t#jc019,False,71,1,equal,ST1_high_4_a1,P = T2?,Same,1,1,high,96,1.2,70,1.6,96,1.16,No,sure,cr,1.5296015739440918,NA
87,t#jc019,False,72,1,equal,ST2_high_4_a1,P = T1?,Same,2,1,high,96,1.3,70,1.39,70,1.77,No,quiteSure,cr,1.2235515117645264,NA
88,t#jc019,False,73,1,equal,ST2_high_6_a1,P = T2?,Same,2,1,high,132,1.16,96,1.55,96,1.23,Yes,sure,hit,1.2385728359222412,NA
89,t#jc019,False,74,1,equal,STb_8_a1,P = T1?,Same,0,1,None,180,0.82,180,0.79,180,0.71,Yes,sure,hit,0.9668676853179932,NA
90,t#jc019,False,75,1,equal,ST2_low_3_a2,P = T2?,Same,2,2,low,70,1.57,112,1.01,112,1.2,Yes,sure,hit,0.8341197967529297,NA
